,Unnamed: 0,level_0,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
271515,271515,122160,22551,SL,2019-08-31,82.7,-2.0714,5.3521,Logan Webb,605361.0,657277.0,,foul,,,,,14.0,,R,L,R,SF,SD,S,,,1.0,1.0,2019.0,1.045,0.4827,1.3968,1.7946,,,594824.0,2.0,5.0,Top,,,,,457763.0,,190901_022640,5.874,-120.4136,-2.6026,9.1053,21.2287,-27.2381,3.45,1.7,4.0,82.4,-24.5,82.76,2806.0,6.09,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.4091,,,,,,,,38.0,3.0,Slider,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271516,271516,122161,22559,CH,2019-08-31,86.2,-2.0452,5.3387,Logan Webb,605361.0,657277.0,,called_strike,,,,,8.0,,R,L,R,SF,SD,S,,,1.0,0.0,2019.0,-1.3188,0.1234,-0.1227,1.9082,,,594824.0,2.0,5.0,Top,,,,,457763.0,,190901_022615,7.2453,-125.3854,-2.2065,-15.3351,23.5744,-30.6518,3.45,1.7,,,,86.485,1737.0,6.336,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.1639,,,,,,,,38.0,2.0,Changeup,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271517,271517,122162,22580,FF,2019-08-31,91.4,-2.0352,5.4338,Logan Webb,605361.0,657277.0,,ball,,,,,13.0,,R,L,R,SF,SD,B,,,0.0,0.0,2019.0,-1.2475,1.0569,-0.1639,1.2895,,,594824.0,2.0,5.0,Top,,,,,457763.0,,190901_022552,7.3392,-132.6886,-6.7598,-16.1911,28.3115,-18.5663,3.45,1.7,,,,90.93799999999999,2246.0,6.132999999999999,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.3667,,,,,,,,38.0,1.0,4-Seam Fastball,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Strategic,Standard
271518,271518,122163,22587,CH,2019-08-31,85.6,-2.0302,5.3347,Logan Webb,594824.0,657277.0,force_out,hit_into_play,,,,,7.0,"Greg Garcia grounds into a force out, first baseman Brandon Belt to shortstop Mauricio Dubon.   Joey Lucchesi out at 2nd.    Greg Garcia to 1st.  ",R,L,R,SF,SD,X,3.0,ground_ball,1.0,0.0,2019.0,-0.9754,0.0202,-0.5298,1.6684,,,664192.0,1.0,5.0,Top,152.62,162.14,,,457763.0,,190901_022504,5.5321,-124.6018,-2.4822,-11.2762,22.7195,-31.6984,3.37,1.58,3.0,60.3,-26.2,86.21700000000001,1502.0,6.46,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.04,0.078,0.076,0.0,1.0,0.0,0.0,2.0,37.0,2.0,Changeup,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271519,271519,122164,22609,FF,2019-08-31,92.9,-1.8454,5.5265,Logan Webb,594824.0,657277.0,,ball,,,,,13.0,,R,L,R,SF,SD,B,,,0.0,0.0,2019.0,-0.8382,1.1726,-0.0962,0.9581,,,664192.0,1.0,5.0,Top,,,,,457763.0,,190901_022439,6.3419,-135.0291,-8.5648,-11.6248,26.2135,-16.1551,3.37,1.58,,,,93.584,2343.0,6.513,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,53.9863,,,,,,,,37.0,1.0,4-Seam Fastball,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271520,271520,122165,22630,FF,2019-08-31,91.0,-1.926,5.4995,Logan Webb,664192.0,657277.0,force_out,hit_into_play,,,,,4.0,"Joey Lucchesi ground bunts into a force out, pitcher Logan Webb to shortstop Mauricio Dubon.   Austin Hedges out at 2nd.    Joey Lucchesi to 1st.  ",R,L,R,SF,SD,X,1.0,ground_ball,0.0,1.0,2019.0,-1.1752,1.1745,-0.3604,2.3696,,,595978.0,0.0,5.0,Top,128.39,187.58,,,457763.0,,190901_022330,6.4401,-132.3195,-4.4657,-15.149000000000001,27.4887,-17.6535,3.36,1.71,,41.0,-39.0,91.071,2394.0,6.315,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.1848,0.142,0.135,0.0,1.0,0.0,0.0,1.0,36.0,2.0,4-Seam Fastball,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Strategic,Strategic
271521,271521,122166,22635,SL,2019-08-31,82.5,-2.0398,5.4892,Logan Webb,664192.0,657277.0,,called_strike,,,,,7.0,,R,L,R,SF,SD,S,,,0.0,0.0,2019.0,0.6388,-0.0193,-0.3175,1.8415,,,595978.0,0.0,5.0,Top,,,,,457763.0,,190901_022305,2.6783,-120.0927,-1.7486,5.6164,23.2524,-32.2457,3.36,1.71,,,,82.31,2826.0,6.142,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.3578,,,,,,,,36.0,1.0,Slider,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Strategic,Standard
271522,271522,122167,22659,SI,2019-08-31,90.4,-1.8134,5.4589,Logan Webb,595978.0,657277.0,single,hit_into_play_no_out,,,,,7.0,Austin Hedges singles on a line drive to left fielder Joey Rickard.  ,R,R,R,SF,SD,X,7.0,line_drive,0.0,0.0,2019.0,-1.2319,0.4546,-0.4549,2.0936,,,,0.0,5.0,Top,81.79,105.4,,,457763.0,,190901_022229,6.0821,-131.6428,-3.4852,-15.7493,26.3736,-26.301,3.36,1.71,209.0,77.1,15.6,91.27,1987.0,6.649,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,53.8502,0.845,0.764,0.9,1.0,1.0,0.0,4.0,35.0,1.0,Sinker,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Infield shift,Standard
271539,271539,122184,22926,SL,2019-08-31,81.2,-1.8219999999999998,5.3834,Logan Webb,649966.0,657277.0,field_out,hit_into_play,,,,,3.0,"Luis Urias grounds out, shortstop Mauricio Dubon to first baseman Brandon Belt.  ",R,R,R,SF,SD,X,6.0,ground_ball,1.0,1.0,2019.0,1.0125,-0.0076,0.7783,2.5896,,,,2.0,4.0,Top,115.06,141.55,,,457763.0,,190901_021046,3.8871,-118.1468,0.3514,8.5845,21.9295,-32.5475,3.07,1.47,60.0,92.9,2.4,80.503,2763.0,5.7589999999999995,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,54.74100000000001,0.392,0.314,0.0,1.0,0.0,0.0,2.0,30.0,3.0,Slider,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
271540,271540,122185,22942,FF,2019-08-31,91.7,-1.6751,5.5434,Logan Webb,649966.0,657277.0,,swinging_strike,,,,,3.0,,R,R,R,SF,SD,S,,,1.0,0.0,2019.0,-0.8364,1.1391,0.4506,2.9605,,,,2.0,4.0,Top,,,,,457763.0,,190901_021021,7.2262,-133.422,-3.2036,-11.5467,26.3798,-17.9496,3.07,1.47,,,,92.428,2162.0,6.5489999999999995,566537.0,657277.0,457763.0,474832.0,456781.0,446334.0,643289.0,572073.0,607680.0,596103.0,53.9506,,,,,,,,30.0,2.0,4-Seam Fastball,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Standard,Standard
